N.,Denominaci�n,Departamento,Provincia,Distrito,�rea
179,Asociacion Civil Villa Milagro,Cajamarca,Cajamarca,Cajamarca,educación / género / inclusión social
180,Asociacion Civil Wara,Cusco,Cusco,Wanchaq,ambiente / género / gobernabilidad
181,"Asociacion Civil, Social, Economico Y Cultural De Las Comunidades Campesinas Y Nativas",Loreto,Loreto,Lagunas,ambiente
182,Asociacion Compartiendo Vida Y Salud,Lima,Lima,Chorrillos,ambiente / educación / género / salud
183,Asociacion Comunidad Sabiduria Andante Paz Y Bien,Callao,Callao,Ventanilla,género / salud
184,"Asociacion Comunion, Promocion, Desarrollo Y Liberacion Coprodeli",Callao,Callao,Callao,educación / salud
185,Asociacion Con Nuevos Paradigmas De Desarrollo Sostenible,Lima,Lima,Ate,educación / inclusión social
186,Asociacion Construyendo El Futuro Para Niños Peruanos,Cajamarca,Cajamarca,Lajas,género / inclusión social
187,Asociacion Corazon De La Amazonia Nii Juinti,Ucayali,Ucayali,Calleria,educación
188,Asociacion Creando Sueños,Lima,Lima,Barranco,género
189,Asociacion Cristiana Erkhetai,Ica,Ica,Tupac Amaru Inca,cultura / educación / gobernabilidad / inclusión social / trabajo
190,Asociacion Cristiana Evangelica Para El Desarrollo,Lima,Lima,Santiago De Surco,educación / inclusión social / justicia / transportes y comunicaciones
191,Asociacion Cristiana Felipe Y Jacobo,Lima,Lima,Comas,género
192,Asociacion Cuencas Andinas Kiswar,Ayacucho,Ayacucho,Ayacucho,ambiente / género / gobernabilidad / inclusión social
193,Asociacion Cultural Ad Libitum,Lima,Lima,Lima,educación
194,Asociacion Cultural Angel Del Folklore Internacional,Lima,Lima,Lima,cultura
195,Asociacion Cultural Artesano,Cajamarca,Cajamarca,Cajamarca,educación
196,Asociacion Cultural Ayllu Yupaychay,Cusco,Cusco,Cusco,educación
197,Asociacion Cultural De Desarrollo Para La Proteccion Del Medio Ambiente,Ucayali,Ucayali,Calleria,ambiente / género
198,Asociacion Cultural De Emprendedores Para Un Mundo Sostenible,Huanuco,Huanuco,Ambo,ambiente / género / salud
199,Asociacion Cultural Expresion,Lima,Lima,Pueblo Libre,educación
200,Asociacion Cultural Johannes Gutenberg,Lima,Lima,El Agustino,educación / género / salud
201,Asociacion Cultural Para Ayudar A La Niñez - Pan,Lima,Lima,La Molina,género
202,Asociacion Cultural Para El Desarrollo Integral Participativo,Lima,Lima,Lince,ambiente / educación
203,Asociacion Cultural Y Educativa Jatun Nani,Lima,Lima,La Molina,cultura / educación / género
204,Asociacion De Accion Andina,Ayacucho,Ayacucho,Ayacucho,agropecuario / economía / educación / género / gobernabilidad / inclusión social / salud
205,Asociacion De Apoyo A La Produccion Caprina,Lima,Lima,Carabayllo,ambiente / vivienda y saneamiento
206,Asociacion De Apoyo Y Promocion Del Excepcional Yancana Huasy,Lima,Lima,San Juan De Lurigancho,género
207,"Asociacion De Artesan@S De Contumaza ""Arte De Rueca Y Crochet""",Cajamarca,Cajamarca,Contumaza,producción
208,Asociacion De Ayuda Al Niño Quemado,Lima,Lima,Jesus Maria,educación / género / inclusión social / salud
209,Asociacion De Comunicadores Sociales Calandria,Lima,Lima,Magdalena Del Mar,educación / género / justicia / transportes y comunicaciones
210,Asociacion De Comunidades Agro Industriales Y Forestales Bambu - Ucayali,Ucayali,Ucayali,Manantay,producción
211,"Asociacion De Comunidades Ashaninka Del Valle Del Pichis, Apatyawaka Nampitzi Ashaninka Pichis",Pasco,Pasco,Puerto Bermudez,género
212,Asociacion De Conservacion Ecologica Tumbes Silvestre,Tumbes,Tumbes,Tumbes,ambiente / educación
213,Asociacion De Construccion Civil Multiple Empresarial Y Artesanal De Paita,Piura,Piura,Paita,género
214,Asociacion De Cooperativas Agrarias De La Amazonia Peruana - Verde Amazonico,San Martin,San Martin,Tarapoto,agropecuario
215,Asociacion De Defensa Y Desarrollo De Las Comunidades Andinas Del Peru,Lima,Lima,Jesus Maria,género / justicia / salud
216,"Asociacion De Desarrollo Agropecuario Y Cuidado Del Medio Ambiente ""Tesoro Ecologico""",Huanuco,Huanuco,Huanuco,ambiente / gobernabilidad / producción
217,Asociacion De Desarrollo De Capacidades Locales,Ica,Ica,Ica,agropecuario / ambiente / educación / género / vivienda y saneamiento
218,Asociacion De Desarrollo De La Educacion Y La Salud,Lima,Lima,Miraflores,educación / salud
219,Asociacion De Desarrollo Integral De La Poblacion Jaenense,Cajamarca,Cajamarca,Jaen,ambiente / educación / salud
220,Asociacion De Desarrollo Minka Tarpuy,Lima,Lima,San Isidro,ambiente / inclusión social
221,Asociacion De Desarrollo Social Carpe Diem,Ica,Ica,Chincha Alta,inclusión social
222,Asociacion De Desarrollo Social Lestonnac,La Libertad,La Libertad,Chepen,ciencia y tecnología / economía / educación / género / gobernabilidad / trabajo
223,Asociacion De Desarrollo Socio Ambiental Integral - Adsai,Lambayeque,Lambayeque,Chiclayo,ambiente / educación
224,Asociacion De Desarrollo Y Solidaridad,San Martin,San Martin,Rioja,educación / género / salud
225,Asociacion De Directores De Bandas Sinfonicas Del Peru,Arequipa,Arequipa,Yanahuara,educación / género
226,Asociacion De Enfermos De Tuberculosis Victoria Castillo De Canales-Comas,Lima,Lima,Comas,género / salud
227,Asociacion De Exportadores,Lima,Lima,San Borja,educación / producción
228,Asociacion De Familias Desplazadas Insertadas En La Provincia De Huanta,Ayacucho,Ayacucho,Huanta,ciencia y tecnología / educación / gobernabilidad / inclusión social / producción / salud / trabajo / vivienda y saneamiento
229,Asociacion De Fomento E Investigacion Para El Desarrollo De Cajamarca,Cajamarca,Cajamarca,Cajamarca,educación
230,Asociacion De Hogares Nuevo Futuro - Peru,Lima,Lima,Barranco,educación / género / inclusión social
231,Asociacion De Ingenieros Ambientales Del Peru,Ayacucho,Ayacucho,San Juan Bautista,ambiente
232,Asociacion De Jovenes Progresistas,La Libertad,La Libertad,Trujillo,educación / producción / trabajo
233,Asociacion De La Cultura Italiana Susana Agnelli,Piura,Piura,Castilla,educación
234,Asociacion De Madereros Y Reforestadores De Curimana,Ucayali,Ucayali,Curimana,ambiente / educación / género / inclusión social
235,Asociacion De Mujeres Emprendedoras Del Distrito De Buenos Aires - Morropon,Piura,Piura,Buenos Aires,ambiente / género
236,Asociacion De Mujeres Para El Desarrollo Integral Sostenible Del Peru,La Libertad,La Libertad,Victor Larco Herrera,género / salud
237,Asociacion De Personas Afectadas Por Tuberculosis Del Peru,Lima,Lima,Los Olivos,educación / salud
238,Asociacion De Personas Con Discapacidad Santa Barbara,La Libertad,La Libertad,Trujillo,género
239,Asociacion De Pobladores De Huacablanca Para El Desarrollo Y Defensa De Sus Derechos E Intereses,Lambayeque,Lambayeque,Chongoyape,educación / gobernabilidad
240,"Asociacion De Prevencion, Desarrollo Social Y Bienestar Espiritual",Lima,Lima,Jesus Maria,educación / salud
241,Asociacion De Productores Agrarios Ecologicos Grano De Oro,San Martin,San Martin,Lamas,educación / género / gobernabilidad
242,Asociacion De Productores Agrarios Y Madereros Cataratas De Osurco Organismo No Gubernamental De Desarrollo,Cajamarca,Cajamarca,Jaen,género
243,Asociacion De Productores Agropecuarios La Monteria,Lambayeque,Lambayeque,Chongoyape,ambiente / educación / género / salud
244,Asociacion De Productores Cacaoteros Y Cafetaleros De Amazonas,Amazonas,Amazonas,Bagua,agropecuario
245,Asociacion De Promocion Agraria Y Defensa De La Vida,La Libertad,La Libertad,El Porvenir,agropecuario
246,Asociacion De Promocion Cultural Ayllu,La Libertad,La Libertad,Trujillo,educación
247,Asociacion De Promocion Y Bienestar Familiar,Arequipa,Arequipa,Cerro Colorado,género / salud
248,Asociacion De Promocion Y Desarrollo Social,Lima,Lima,Santiago De Surco,agropecuario / educación / género / gobernabilidad / inclusión social / salud / vivienda y saneamiento
249,"Asociacion De Promotores Para La Generacion De Recursos, Educacion Y Cultura, Salud, Alimentacion Y Cuidado Del Medio Ambiente, Con Gestion Social Responsable",Lima,Lima,Villa El Salvador,inclusión social
250,Asociacion De Proteccion Al Ambiente Para Una America Latina Libre De Contaminacion,Ancash,Ancash,Huaraz,ambiente / educación
251,Asociacion De Proteccion De Bosques Comunales Dos De Mayo - Alto Huayabamba,San Martin,San Martin,Huicungo,ambiente
252,Asociacion De Rehabilitacion Infantil Angelitos De Dios,Lima,Lima,Carabayllo,salud / trabajo
253,Asociacion De Servicio Integral De Cooperacion Rural Anccara - Sicra,Huancavelica,Huancavelica,Lircay,ambiente / educación / género / gobernabilidad / producción / salud
254,Asociacion De Trabajadores Sociales Benefactores De Servicios Multiples Las Mercedes,Lima,Lima,Breña,género / inclusión social
255,Asociacion De Victimas De Accidentes De Transito,Lima,Lima,Santiago De Surco,salud
256,Asociacion De Yachachiq Solidaridad Colectiva Para El Desarrollo,Piura,Piura,Piura,agropecuario / salud
257,Asociacion Defensa Por El Patrimonio Cultural Y Humano,Lima,Lima,Lima,educación
258,Asociacion Del Desarrollo Rural Y Humanitario,Huanuco,Huanuco,Huanuco,agropecuario / ambiente / ciencia y tecnología / economía / género
259,Asociacion Del Programa De Desarrollo De Tocache Prodesat,San Martin,San Martin,Tocache,educación / género
260,"Asociacion Deportiva, Educativa Y Cultural, Escuela Kubil",Lima,Lima,Pueblo Libre,educación
